rowID,region,listing_price,model_year,maker,vehicle_model,vehicle_condition,engine_cylinders,fuel_type,mileage,title_status,transmission,drivetrain,vehicle_size,vehicle_type,exterior_color,state,posting_date
B2F4A9E7,baltimore,11000,2001.0,bmw,740i,excellent,8.0,gas,145100.0,clean,automatic,rwd,full-size,sedan,silver,md,4/15/2021
A7485BB3,stockton,11900,2015.0,kia,optima,excellent,4.0,gas,80000.0,clean,automatic,fwd,mid-size,sedan,custom,ca,4/26/2021
68460D72,treasure coast,7499,2012.0,volkswagen,sport cc,excellent,4.0,gas,129000.0,clean,manual,fwd,mid-size,coupe,black,fl,4/4/2021
F20B7AAD,stockton,20999,2014.0,mercedes-benz,gl-class,excellent,8.0,gas,115901.0,clean,automatic,4wd,full-size,SUV,blue,ca,4/12/2021
5672844E,nashville,9995,2010.0,honda,pilot,excellent,6.0,gas,175215.0,clean,automatic,rwd,full-size,SUV,silver,tn,5/4/2021
961300A7,ithaca,8450,2013.0,nissan,quest sv,excellent,6.0,gas,137642.0,clean,automatic,fwd,full-size,mini-van,black,ny,4/13/2021
B2776375,york,29995,2013.0,chevrolet,silverado 1500,excellent,8.0,gas,87000.0,clean,automatic,4wd,full-size,pickup,green,pa,5/1/2021
83520CDC,vermont,22998,2015.0,mercedes-benz,e400 4matic,good,6.0,gas,96665.0,clean,automatic,4wd,mid-size,coupe,black,vt,4/6/2021
2FDDFA99,minneapolis / st paul,12000,2010.0,gmc,acadia,good,6.0,gas,110655.0,clean,automatic,4wd,mid-size,SUV,silver,mn,5/1/2021
227A6E3A,green bay,38340,2015.0,ford,f-450,excellent,8.0,diesel,51486.0,rebuilt,automatic,4wd,full-size,truck,white,wi,4/21/2021
6764EC3E,topeka,10995,2004.0,chevrolet,silverado 1500,excellent,8.0,gas,138233.0,clean,automatic,4wd,full-size,truck,white,ks,4/30/2021
5E2472E5,lincoln,11900,2015.0,chrysler,town & country touring,good,6.0,gas,104000.0,clean,automatic,fwd,mid-size,mini-van,black,ne,4/29/2021
C0F9B248,seattle-tacoma,3400,1998.0,cadillac,seville sts,good,8.0,gas,140000.0,clean,automatic,fwd,full-size,sedan,black,wa,5/3/2021
AEE17D0F,central NJ,2999,2002.0,toyota,avalon,excellent,6.0,gas,179000.0,clean,automatic,fwd,mid-size,sedan,grey,nj,4/30/2021
5D21EF2E,jacksonville,0,2015.0,acura,rdx,like new,6.0,gas,50000.0,clean,automatic,fwd,mid-size,SUV,white,fl,4/28/2021
FC91A873,san antonio,33989,2019.0,toyota,tundra sr 4x4,good,8.0,gas,60593.0,clean,automatic,4wd,full-size,pickup,black,tx,4/24/2021
3BA9C377,reno / tahoe,12999,2015.0,nissan,altima 2.5,like new,4.0,gas,42000.0,rebuilt,automatic,fwd,compact,sedan,silver,ca,4/23/2021
017BE262,dallas / fort worth,18995,2010.0,ford,super duty f-350 srw,excellent,8.0,diesel,0.0,clean,automatic,4wd,full-size,pickup,white,tx,5/4/2021
0AB5F1AC,dallas / fort worth,34989,2015.0,chevrolet,tahoe,good,8.0,gas,107830.0,clean,automatic,rwd,full-size,SUV,white,tx,4/30/2021
8840555B,columbus,9800,2011.0,chevrolet,silverado 2500hd,excellent,8.0,gas,205000.0,clean,automatic,4wd,full-size,truck,white,oh,5/2/2021
