rowID,region,listing_price,model_year,maker,vehicle_model,vehicle_condition,engine_cylinders,fuel_type,mileage,title_status,transmission,drivetrain,vehicle_size,vehicle_type,exterior_color,state,posting_date
B2F4A9E7,baltimore,11000,2001,bmw,740i,excellent,8,gas,145100,clean,automatic,rwd,full-size,sedan,silver,md,4/15/2021
A7485BB3,stockton,11900,2015,kia,optima,excellent,4,gas,80000,clean,automatic,fwd,mid-size,sedan,custom,ca,4/26/2021
68460D72,treasure coast,7499,2012,volkswagen,sport cc,excellent,4,gas,129000,clean,manual,fwd,mid-size,coupe,black,fl,4/4/2021
F20B7AAD,stockton,20999,2014,mercedes-benz,gl-class,excellent,8,gas,115901,clean,automatic,4wd,full-size,SUV,blue,ca,4/12/2021
5672844E,nashville,9995,2010,honda,pilot,excellent,6,gas,175215,clean,automatic,rwd,full-size,SUV,silver,tn,5/4/2021
961300A7,ithaca,8450,2013,nissan,quest sv,excellent,6,gas,137642,clean,automatic,fwd,full-size,mini-van,black,ny,4/13/2021
B2776375,york,29995,2013,chevrolet,silverado 1500,excellent,8,gas,87000,clean,automatic,4wd,full-size,pickup,green,pa,5/1/2021
83520CDC,vermont,22998,2015,mercedes-benz,e400 4matic,good,6,gas,96665,clean,automatic,4wd,mid-size,coupe,black,vt,4/6/2021
2FDDFA99,minneapolis / st paul,12000,2010,gmc,acadia,good,6,gas,110655,clean,automatic,4wd,mid-size,SUV,silver,mn,5/1/2021
227A6E3A,green bay,38340,2015,ford,f-450,excellent,8,diesel,51486,rebuilt,automatic,4wd,full-size,truck,white,wi,4/21/2021
6764EC3E,topeka,10995,2004,chevrolet,silverado 1500,excellent,8,gas,138233,clean,automatic,4wd,full-size,truck,white,ks,4/30/2021
5E2472E5,lincoln,11900,2015,chrysler,town & country touring,good,6,gas,104000,clean,automatic,fwd,mid-size,mini-van,black,ne,4/29/2021
C0F9B248,seattle-tacoma,3400,1998,cadillac,seville sts,good,8,gas,140000,clean,automatic,fwd,full-size,sedan,black,wa,5/3/2021
AEE17D0F,central NJ,2999,2002,toyota,avalon,excellent,6,gas,179000,clean,automatic,fwd,mid-size,sedan,grey,nj,4/30/2021
5D21EF2E,jacksonville,0,2015,acura,rdx,like new,6,gas,50000,clean,automatic,fwd,mid-size,SUV,white,fl,4/28/2021
FC91A873,san antonio,33989,2019,toyota,tundra sr 4x4,good,8,gas,60593,clean,automatic,4wd,full-size,pickup,black,tx,4/24/2021
3BA9C377,reno / tahoe,12999,2015,nissan,altima 2.5,like new,4,gas,42000,rebuilt,automatic,fwd,compact,sedan,silver,ca,4/23/2021
017BE262,dallas / fort worth,18995,2010,ford,super duty f-350 srw,excellent,8,diesel,0,clean,automatic,4wd,full-size,pickup,white,tx,5/4/2021
0AB5F1AC,dallas / fort worth,34989,2015,chevrolet,tahoe,good,8,gas,107830,clean,automatic,rwd,full-size,SUV,white,tx,4/30/2021
8840555B,columbus,9800,2011,chevrolet,silverado 2500hd,excellent,8,gas,205000,clean,automatic,4wd,full-size,truck,white,oh,5/2/2021
95568493,pensacola,22995,2013,chevrolet,silverado 1500,good,8,gas,145351,clean,automatic,4wd,full-size,truck,silver,fl,4/22/2021
E9E637EC,pittsburgh,23500,1955,ford,thunderbird convertible,good,8,gas,42000,clean,automatic,rwd,compact,coupe,red,pa,5/1/2021
A8D7C089,charleston,14296,2008,toyota,4runner sr5,like new,6,gas,131519,clean,automatic,rwd,mid-size,SUV,black,sc,4/27/2021
F4A42D33,omaha / council bluffs,6300,2008,chevrolet,trailblazer lt,like new,6,gas,153000,rebuilt,automatic,4wd,mid-size,truck,white,ia,4/18/2021
94E1C720,indianapolis,5500,2010,chevrolet,equinox lt,good,4,gas,175000,clean,automatic,4wd,mid-size,SUV,grey,in,4/27/2021
141FE943,harrisburg,11450,2012,jeep,liberty sport 4x4,excellent,6,gas,59996,clean,automatic,4wd,mid-size,SUV,silver,pa,4/30/2021
95195730,st cloud,11976,2017,kia,optima lx,excellent,4,gas,70247,clean,automatic,fwd,mid-size,sedan,silver,mn,4/20/2021
7CBB7D8B,bend,9500,2004,chevrolet,silverado,good,8,gas,1950000,clean,automatic,4wd,full-size,pickup,black,or,4/22/2021
668D7F95,"kansas city, MO",16000,2006,ram,1500 slt,excellent,8,gas,83000,clean,automatic,4wd,full-size,pickup,brown,ks,4/29/2021
3C828E4D,champaign urbana,5450,2011,ford,fiesta se,good,4,gas,75000,clean,manual,fwd,sub-compact,sedan,yellow,il,4/16/2021
3EAFB19D,raleigh / durham / CH,8900,1994,gmc,top kick,good,6,diesel,202000,clean,automatic,rwd,full-size,truck,yellow,nc,4/19/2021
7203CC6D,bozeman,16995,2014,ford,flex sel awd,like new,6,gas,84787,clean,automatic,4wd,mid-size,SUV,red,mt,4/23/2021
3EE85FF1,ventura county,2000,1994,nissan,truck,fair,4,gas,309000,clean,manual,rwd,mid-size,pickup,white,ca,4/21/2021
8C65BFDE,columbus,8995,2016,dodge,dart,excellent,4,gas,67562,clean,automatic,fwd,mid-size,sedan,white,oh,4/22/2021
0613ADF4,harrisonburg,2250,2003,ford,explorer xlt 4wd,good,4,gas,1795320,clean,automatic,4wd,full-size,SUV,red,va,5/2/2021
E21B9EDD,albuquerque,46995,2020,chevrolet,silverado 1500 crew 4x4,like new,8,gas,5446,clean,automatic,4wd,full-size,truck,white,nm,4/21/2021
